cellule,Z_biapy,X_biapy,Y_biapy,Z_gcamp,X_gcamp,Y_gcamp,distance_3D
1,54.5854152232737,740.5,896.75,55.3268512608205,739.487653122601,896.159585392812,1.38678152797516
2,57.0762100110222,748.25,911.5,54.8626579650339,747.074729585164,912.09326949724,2.57546925911446
3,64.2296051151073,936,915,56.9490866137601,943.953435450956,916.099710202177,10.8384707246801
4,62.6665054968572,775,1054,50.4400038998065,769.868395645747,1047.69896784059,14.6807258275989
5,60.4742598172049,884.25,1097.5,49.9461850596774,884.340310974889,1099.48566172065,10.7140732982892
6,56.0509504788503,745.75,937.5,53.9633803669032,744.684603769929,937.3665943834,2.347512546907
7,54.6235389787087,828.5,1071.75,50.2255255494169,826.668500281316,1072.50994946755,4.82435866587455
8,57.2913524658411,903.75,1093.25,50.3276704282185,904.12407632764,1094.90972604825,7.16850689999413
9,59.817754590825,740.75,1028.75,50.7188157411268,738.147994509564,1029.23519453256,9.47610333930721
10,50.2539211905511,784.25,1078,49.5641740404415,783.450466229678,1077.52229014587,1.15897026955054
11,56.7842673896635,939.25,898,57.4888279322054,940.763069697271,899.41658647024,2.18917854332891
12,55.8557374532286,739.5,1012.5,51.3059016913681,737.64156368514,1012.05903094523,4.93449538489617
13,58.9740646905319,852.75,892.25,56.6922894523706,853.682196763927,893.98495009713,3.01422309786329
14,54.214769265355,880.25,1102,49.7428648628178,879.614990620282,1103.82961157468,4.87325809002319
15,50.7052655296618,761,1082.25,49.1936032086022,760.075477985866,1080.60620126247,2.4170101814092
16,47.3529751163927,807.25,1020.5,51.764781338954,805.898686106735,1021.11107710576,4.65440636523549
17,56.5751363982377,793.5,985.25,52.8655330732131,796.991994933344,986.301562328377,5.20201583753765
18,51.5024276078391,731.5,983,52.2120148928834,730.123682823631,983.343718678305,1.58616065229236
19,63.9452619806126,728.5,1044.25,50.1216182470041,723.942128330188,1041.88745228615,14.7461504106129
20,42.0029490067855,836.25,1016.25,52.399655355815,839.835142021612,1013.82706574621,11.2612324645783
21,49.4390630365094,825.5,1007.75,52.4870528009441,824.738988268053,1006.35223669959,3.43847680001178
22,54.698715790474,830.5,1007.5,52.5274342189003,829.907290211314,1006.87434474399,2.33606786203597
23,60.9888571727681,779.5,1047.25,50.3970190560759,777.223460714564,1051.35250524892,11.5844816511463
24,50.92958896669,758.25,928.75,54.4430063184335,758.483659128481,927.987688087462,3.60275138301988
25,49.8229506520089,819.75,1003.75,52.5371277768306,820.287854572417,1003.44402997514,2.78382159307782
26,54.1389001048655,804.25,993.5,52.6908394371561,803.589934491596,993.523372144796,1.59157545529708
27,55.2855013134551,735.25,971,52.6659082198955,734.090190328062,971.491169494472,2.90666026966452
